,Team,Type,POS,Name,Specific POS,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency
0,COL,Majors,RD,"Byram, Bowen",LD,22,L,Drafted (4 - 2019),42,10.0,14.0,24.0,,,NHL,,24,0.0
1,COL,Majors,F,"Foudy, Jean-Luc",C,21,R,Drafted (75 - 2020),46,11.0,25.0,36.0,,,AHL,,25,0.0
2,COL,Minors,F,"Olausson, Oskar",RW,20,L,Drafted (28 - 2021),63,11.0,9.0,20.0,,,AHL,,10,0.0
3,COL,Minors,F,"Beaucage, Alex",RW,22,R,Drafted (78 - 2019),63,8.0,12.0,20.0,,,AHL,,10,0.0
4,COL,Minors,F,"Pavel, Ondrej",C,23,L,Signed to ELC,39,6.0,9.0,15.0,,,NCAA,,6,0.0
5,COL,Minors,F,"Stienburg, Matthew",C,22,R,Drafted (63 - 2019),18,2.0,5.0,7.0,,,NCAA,,6,0.0
6,COL,Minors,D,"Fairbrother, Gianni",LD,22,L,Traded,25,1.0,6.0,7.0,,,AHL,,9,0.0
7,COL,Minors,G,"Annunen, Justus",G,23,L,Drafted (64 - 2018),41,0.0,0.0,0.0,2.54,0.916,AHL,,0,0.887401097
8,COL,Minors,G,"Miner, Trent",G,22,L,Drafted (202 - 2019),37,0.0,0.0,0.0,3.04,0.91,ECHL,*no translation,0,0.866838405
9,COL,Loaned,F,"Kovalenko, Nikolai",RW,23,L,Drafted (171 - 2018),56,21.0,33.0,54.0,,,KHL,,61,0.0
11,COL,Prospects,F,"Buyalsky, Andrei",C,23,L,Drafted (92 - 2021),34,5.0,13.0,18.0,,,NCAA,,8,0.0
12,COL,Prospects,F,"Ambrosio, Colby",C,21,R,Drafted (118 - 2020),36,10.0,11.0,21.0,,,NCAA,,9,0.0
14,COL,Prospects,F,"Makar, Taylor",C,22,L,Drafted (220 - 2021),32,10.0,2.0,12.0,,,NCAA,,6,0.0
16,COL,Prospects,D,"Behrens, Sean",LD,20,L,Drafted (61 - 2021),31,3.0,18.0,21.0,,,NCAA,,11,0.0
19,COL,Prospects,D,"Romaine, Chris",RD,19,R,Drafted (193 - 2022),48,0.0,10.0,10.0,,,USHL,,2,0.0
20,COL,Prospects,G,"Zhigalov, Ivan",G,20,R,Drafted (225 - 2022),45,0.0,0.0,0.0,3.59,0.889,OHL,,0,0.858594193
21,COL,Reserve,F,"Ranta, Sampo",LW,23,L,Drafted (78 - 2018),58,11.0,11.0,22.0,,,AHL,,12,0.0
23,CHI,Majors,LW,"Kurashev, Philipp",LW,23,L,Drafted (120 - 2018),70,9.0,15.0,25.0,,,NHL,,25,0.0
24,CHI,Majors,C,"Reichel, Lukas",LW,21,L,Drafted (17 - 2020),55,20.0,31.0,51.0,,,AHL,,30,0.0
25,CHI,Majors,LD,"Korchinski, Kevin",LD,19,L,Drafted (7 - 2022),54,11.0,62.0,73.0,,,WHL,,16,0.0
26,CHI,Majors,LD,"Vlasic, Alex",LD,22,L,Drafted (43 - 2019),56,2.0,17.0,19.0,,,AHL,,11,0.0
27,CHI,Minors,F,"Ludwinski, Paul",C,19,L,Drafted (39 - 2022),47,9.0,25.0,34.0,,,OHL,,9,0.0
28,CHI,Minors,F,"Dach, Colton",C,20,L,Drafted (62 - 2021),23,12.0,15.0,27.0,,,WHL,,14,0.0
29,CHI,Minors,F,"Hayes, Gavin",LW,19,R,Drafted (66 - 2022),66,41.0,40.0,81.0,,,OHL,,14,0.0
30,CHI,Minors,F,"Savoie, Samuel",LW,19,L,Drafted (81 - 2022),60,26.0,33.0,59.0,,,QMJHL,,9,0.0
31,CHI,Minors,F,"Teplý, Michal",LW,22,R,Drafted (105 - 2019),56,9.0,16.0,25.0,,,AHL,,14,0.0
32,CHI,Minors,F,"Luypen, Jalen",C,21,L,Drafted (216 - 2021),38,18.0,21.0,39.0,,,WHL,,12,0.0
33,CHI,Minors,F,"Rolston, Ryder",C,21,R,Traded,27,7.0,13.0,20.0,,,NCAA,,12,0.0
34,CHI,Minors,D,"Phillips, Isaak",LD,21,L,Drafted (141 - 2020),51,6.0,17.0,23.0,,,AHL,,14,0.0
35,CHI,Minors,D,"Kaiser, Wyatt",LD,21,L,Drafted (81 - 2020),35,5.0,18.0,23.0,,,NCAA,,10,0.0
36,CHI,Minors,D,"Allan, Nolan",LD,20,L,Drafted (32 - 2021),57,11.0,16.0,27.0,,,WHL,,5,0.0
37,CHI,Minors,D,"Del Mastro, Ethan",LD,20,L,Drafted (105 - 2021),52,7.0,52.0,59.0,,,OHL,,13,0.0
38,CHI,Minors,D,"Crevier, Louis",RD,22,R,Drafted (188 - 2020),62,0.0,5.0,5.0,,,AHL,,3,0.0
39,CHI,Minors,G,"Commesso, Drew",G,21,L,Drafted (46 - 2020),34,0.0,0.0,0.0,2.46,0.913,NCAA,,0,0.872153165
40,CHI,Loaned,F,"Saarela, Antti",C,22,L,Drafted (123 - 2019),41,7.0,11.0,18.0,,,Liiga,,16,0.0
41,CHI,Prospects,F,"Nazar, Frank",RW,19,R,Drafted (13 - 2022),13,2.0,5.0,7.0,,,NCAA,*figure out college acronym,9,0.0
45,CHI,Prospects,F,"Greene, Ryan",C,19,R,Drafted (57 - 2022),38,9.0,22.0,31.0,,,NCAA,,13,0.0
47,CHI,Prospects,F,"Slaggert, Landon",C,21,L,Drafted (79 - 2020),35,7.0,6.0,13.0,,,NCAA,,6,0.0
48,CHI,Prospects,F,"Thompson, Aidan",C,21,L,Drafted (90 - 2022),32,10.0,22.0,32.0,,,NCAA,,16,0.0
51,CHI,Prospects,F,"Stjernborg, Victor",C,20,L,Drafted (108 - 2021),42,1.0,7.0,8.0,,,SHL,,9,0.0
54,CHI,Prospects,F,"Safonov, Ilya",C,22,L,Drafted (172 - 2021),64,19.0,18.0,37.0,,,KHL,,37,0.0
55,CHI,Prospects,F,"James, Dominic",LW,21,L,Drafted (173 - 2022),35,10.0,18.0,28.0,,,NCAA,,13,0.0
56,CHI,Prospects,F,"Gorman, Liam",C,23,L,Traded,32,12.0,12.0,24.0,,,NCAA,,12,0.0
57,CHI,Prospects,F,"Juntorp, Nils",LW,19,R,Drafted (188 - 2022),59,12.0,15.0,27.0,,,USHL,,5,0.0
58,CHI,Prospects,F,"Tohila, Riku",C,19,R,Drafted (199 - 2022),42,18.0,6.0,24.0,,,U20SM-sarja,,4,0.0
59,CHI,Prospects,D,"Rinzel, Sam",RD,19,R,Drafted (25 - 2022),58,9.0,27.0,36.0,,,USHL,,7,0.0
60,CHI,Prospects,D,"Harding, Taige",LD,21,L,Drafted (91 - 2021),37,4.0,13.0,17.0,,,NCAA,,7,0.0
61,CHI,Prospects,D,"Krutil, Michael",RD,21,R,Drafted (110 - 2020),22,0.0,1.0,1.0,,,Czechia 2,(also played in Czechia for similar games),1,0.0
63,CHI,Prospects,D,"Kelley, Connor",RD,21,R,Drafted (204 - 2021),21,0.0,6.0,6.0,,,NCAA,,5,0.0
65,CHI,Prospects,G,"Basse, Dominic",G,22,L,Drafted (167 - 2019),19,0.0,0.0,0.0,2.29,0.911,NCAA,,0,0.871272256
66,STL,Majors,LW,"Neighbours, Jake",LW,21,L,Drafted (26 - 2020),43,6.0,4.0,10.0,,,NHL,,10,0.0
67,STL,Majors,C,"Alexandrov, Nikita",C,22,L,Drafted (62 - 2019),41,19.0,19.0,38.0,,,AHL,,30,0.0
68,STL,Majors,G,"Hofer, Joel",G,23,L,Drafted (107 - 2018),47,0.0,0.0,0.0,2.5,0.921,AHL,,0,0.89051959
69,STL,Minors,F,"Bolduc, Zachary",C,20,L,Drafted (17 - 2021),61,50.0,60.0,110.0,,,QMJHL,,17,0.0
70,STL,Minors,F,"Dean, Zach",C,20,L,Traded,50,33.0,37.0,70.0,,,QMJHL,,13,0.0
71,STL,Minors,F,"Abramov, Mikhail",C,22,L,Traded,34,6.0,10.0,16.0,,,AHL,,15,0.0
72,STL,Minors,F,"Dickinson, Tanner",C,21,L,Drafted (119 - 2020),35,18.0,29.0,47.0,,,OHL,,16,0.0
73,STL,Minors,F,"Washkurak, Keean",C,22,L,Drafted (155 - 2019),45,10.0,3.0,13.0,,,AHL,,9,0.0
74,STL,Minors,F,"Laferrière, Mathias",C,23,R,Drafted (169 - 2018),50,9.0,17.0,26.0,,,AHL,,17,0.0
75,STL,Minors,D,"Tucker, Tyler",LD,23,L,Drafted (200 - 2018),41,3.0,18.0,21.0,,,AHL,,16,0.0
76,STL,Minors,D,"Kessel, Matthew",RD,23,R,Drafted (150 - 2020),71,5.0,28.0,33.0,,,AHL,,15,0.0
77,STL,Minors,D,"Buchinger, Michael",LD,19,L,Drafted (88 - 2022),61,15.0,52.0,67.0,,,OHL,,13,0.0
78,STL,Minors,D,"Lööf, Leo",LD,21,L,Drafted (88 - 2020),55,4.0,12.0,16.0,,,Liiga,,11,0.0
79,STL,Minors,D,"Skinner, Hunter",RD,22,R,Traded,23,0.0,8.0,8.0,,,AHL,,11,0.0
80,STL,Minors,D,"Gaudet, Marc-Andre",LD,19,L,Drafted (152 - 2022),66,15.0,46.0,61.0,,,QMJHL,,9,0.0
81,STL,Minors,D,"Malmström, Anton",LD,23,L,Signed to ELC,33,3.0,3.0,6.0,,,NCAA,,3,0.0
82,STL,Minors,D,"Biakabutuka, Jérémie",RD,21,R,Signed to ELC,56,17.0,25.0,42.0,,,QMJHL,,7,0.0
83,STL,Minors,G,"Zherenko, Vadim",G,22,L,Drafted (208 - 2019),25,0.0,0.0,0.0,3.14,0.913,AHL,,0,0.885530001
84,STL,Minors,G,"Ellis, Colten",G,22,L,Drafted (93 - 2019),27,0.0,0.0,0.0,3.46,0.888,ECHL,,0,0.858403478
85,STL,Minors,G,"Cranley, Will",G,21,L,Drafted (163 - 2020),44,0.0,0.0,0.0,3.87,0.884,OHL,,0,0.856696826
87,STL,Prospects,F,"Snuggerud, Jimmy",RW,19,R,Drafted (23 - 2022),40,21.0,29.0,50.0,,,NCAA,,20,0.0
89,STL,Prospects,F,"Robertsson, Simon",RW,20,L,Drafted (71 - 2021),16,5.0,2.0,7.0,,,SHL,"*a lot of leagues, has Hockey Allsvenskan for 1 less game",20,0.0
90,STL,Prospects,F,"Kaskimäki, Aleksanteri",C,19,L,Drafted (73 - 2022),41,3.0,4.0,7.0,,,Liiga,,6,0.0
92,STL,Prospects,F,"Peterson, Dylan",C,21,R,Drafted (86 - 2020),39,5.0,13.0,18.0,,,NCAA,,7,0.0
94,STL,Prospects,F,"Sim, Landon",RW,19,L,Drafted (184 - 2022),56,14.0,7.0,21.0,,,OHL,,4,0.0
95,STL,Prospects,F,"Vorobyov, Ivan",C,21,R,Drafted (198 - 2021),28,6.0,19.0,25.0,,,VHL,,24,0.0
99,STL,Prospects,D,"Koromyslov, Arseni",LD,19,L,Drafted (120 - 2022),29,0.0,2.0,2.0,,,KHL,,4,0.0
102,STL,Prospects,D,"Beck, Noah",LD,22,L,Drafted (194 - 2020),37,6.0,17.0,23.0,,,NCAA,,10,0.0
103,CBJ,Majors,RW,"Marchenko, Kirill",RW,23,R,Drafted (49 - 2018),59,21.0,4.0,25.0,,,NHL,,25,0.0
104,CBJ,Majors,RW,"Johnson, Kent",LW,20,L,Drafted (5 - 2021),79,16.0,24.0,40.0,,,NHL,,40,0.0
105,CBJ,Majors,LW,"Texier, Alexandre",LW,23,L,Drafted (45 - 2017),46,13.0,22.0,35.0,,,NL,,29,0.0
107,CBJ,Majors,RW,"Chinakhov, Yegor",RW,22,L,Drafted (21 - 2020),30,4.0,9.0,13.0,,,NHL,,13,0.0
108,CBJ,Majors,RW,"Voronkov, Dmitri",LW,23,L,Drafted (114 - 2019),54,18.0,13.0,31.0,,,KHL,,36,0.0
109,CBJ,Majors,RD,"Boqvist, Adam",RD,23,R,Traded,46,5.0,19.0,24.0,,,NHL,,24,0.0
110,CBJ,Minors,F,"Sillinger, Cole",C,20,L,Drafted (12 - 2021),64,3.0,8.0,11.0,,,NHL,,11,0.0
111,CBJ,Minors,F,"Foudy, Liam",LW,23,L,Drafted (18 - 2018),62,7.0,7.0,14.0,,,NHL,,14,0.0
112,CBJ,Minors,F,"McKown, Hunter",C,21,R,Signed to ELC,38,21.0,7.0,28.0,,,NCAA,,12,0.0
113,CBJ,Minors,F,"Pyyhtiä, Mikael",C,21,L,Drafted (114 - 2020),47,7.0,13.0,20.0,,,Liiga,,15,0.0
114,CBJ,Minors,F,"Angle, Tyler",C,22,L,Drafted (212 - 2019),66,11.0,12.0,23.0,,,AHL,,11,0.0
115,CBJ,Minors,F,"Del Bel Belluz, Luca",C,19,L,Drafted (44 - 2022),66,40.0,47.0,87.0,,,OHL,,16,0.0
116,CBJ,Minors,F,"Dumais, Jordan",RW,19,R,Drafted (96 - 2022),64,54.0,86.0,140.0,,,QMJHL,,20,0.0
117,CBJ,Minors,F,"Malatesta, James",LW,20,L,Drafted (133 - 2021),55,37.0,29.0,66.0,,,QMJHL,,11,0.0
118,CBJ,Minors,F,"Butler, Cameron",RW,21,R,Signed to ELC,63,27.0,28.0,55.0,,,OHL,,10,0.0
119,CBJ,Minors,D,"Berni, Tim",LD,23,L,Drafted (159 - 2018),59,1.0,2.0,3.0,,,NHL,,3,0.0
120,CBJ,Minors,D,"Christiansen, Jacob",LD,23,L,Signed to ELC,50,11.0,23.0,34.0,,,AHL,,22,0.0
121,CBJ,Minors,D,"Jiricek, David",RD,19,R,Drafted (6 - 2022),55,6.0,32.0,38.0,,,AHL,,22,0.0
122,CBJ,Minors,D,"Svozil, Stanislav",LD,20,L,Drafted (69 - 2021),56,11.0,67.0,78.0,,,WHL,,16,0.0
123,CBJ,Minors,D,"Knazko, Samuel",LD,21,L,Drafted (78 - 2020),50,1.0,20.0,21.0,,,AHL,,13,0.0
124,CBJ,Minors,D,"Mateychuk, Denton",LD,19,L,Drafted (12 - 2022),63,8.0,57.0,65.0,,,WHL,,12,0.0
125,CBJ,Minors,D,"Ceulemans, Corson",RD,20,R,Drafted (25 - 2021),33,8.0,15.0,23.0,,,NCAA,,11,0.0
126,CBJ,Minors,D,"Bjørgvik Holm, Ole Julian",LD,21,L,Drafted (145 - 2020),25,0.0,2.0,2.0,,,AHL,,3,0.0
127,CBJ,Minors,G,"Greaves, Jet",G,22,L,Signed to ELC,43,0.0,0.0,0.0,3.08,0.899,AHL,,0,0.87679822
128,CBJ,Minors,G,"Lalonde, Nolan",G,19,L,Signed to ELC,41,0.0,0.0,0.0,4.09,0.868,OHL,,0,0.850625253
131,CBJ,Prospects,F,"Dolzhenkov, Kirill",RW,19,L,Drafted (109 - 2022),50,18.0,27.0,45.0,,,MHL,,11,0.0
134,CBJ,Prospects,F,"Rysavy, Martin",RW,20,L,Drafted (197 - 2021),47,11.0,22.0,33.0,,,WHL,,8,0.0
135,CBJ,Prospects,F,"Fisher, James",RW,19,R,Drafted (203 - 2022),42,3.0,7.0,10.0,,,USHL,,3,0.0
137,CBJ,Prospects,D,"Hreschuk, Aidan",LD,20,L,Traded,35,1.0,5.0,6.0,,,NCAA,,3,0.0
139,CBJ,Prospects,D,"Richard, Guillaume",LD,20,L,Drafted (101 - 2021),31,1.0,7.0,8.0,,,NCAA,,4,0.0
140,CBJ,Prospects,D,"Makarov, Nikolai",LD,20,L,Drafted (132 - 2021),25,1.0,7.0,8.0,,,MHL,,4,0.0
141,CBJ,Prospects,G,"Ivanov, Sergei",G,19,L,Drafted (138 - 2022),16,0.0,0.0,0.0,3.07,0.9,VHL,,0,0.874362771
143,BOS,Majors,RW,"Lauko, Jakub",LW,23,L,Drafted (77 - 2018),35,10.0,7.0,17.0,,,AHL,,15,0.0
144,BOS,Minors,F,"Lysell, Fabian",RW,20,R,Drafted (21 - 2021),54,14.0,23.0,37.0,,,AHL,,22,0.0
145,BOS,Minors,F,"Merkulov, Georgi",LW,22,L,Signed to ELC,67,24.0,31.0,55.0,,,AHL,,26,0.0
146,BOS,Minors,F,"Beecher, John",C,22,L,Drafted (30 - 2019),61,9.0,14.0,23.0,,,AHL,,12,0.0
147,BOS,Minors,F,"Poitras, Matthew",C,19,R,Drafted (54 - 2022),63,16.0,79.0,95.0,,,OHL,,18,0.0
148,BOS,Minors,F,"Harrison, Brett",C,20,L,Drafted (85 - 2021),57,34.0,35.0,69.0,,,OHL,,14,0.0
149,BOS,Minors,F,"Kuntar, Trevor",C,22,L,Drafted (89 - 2020),34,13.0,16.0,29.0,,,NCAA,,14,0.0
150,BOS,Minors,F,"Hall, Curtis",C,23,R,Drafted (119 - 2018),37,1.0,3.0,4.0,,,AHL,,3,0.0
151,BOS,Minors,F,"Toporowski, Luke",LW,22,L,Signed to ELC,47,15.0,14.0,29.0,,,AHL,,20,0.0
152,BOS,Minors,F,"Farinacci, John",C,22,R,Signed to ELC,19,5.0,15.0,20.0,,,NCAA,,17,0.0
153,BOS,Minors,D,"Regula, Alec",RD,23,R,Traded,51,5.0,16.0,21.0,,,AHL,,13,0.0
154,BOS,Minors,D,"Lohrei, Mason",LD,22,L,Drafted (58 - 2020),40,4.0,28.0,32.0,,,NCAA,,13,0.0
155,BOS,Minors,D,"Callahan, Michael",LD,23,L,Traded,55,1.0,7.0,8.0,,,AHL,,5,0.0
156,BOS,Minors,D,"Mast, Ryan",RD,20,R,Drafted (181 - 2021),51,8.0,22.0,30.0,,,OHL,,7,0.0
157,BOS,Prospects,F,"Olson, Quinn",C,22,L,Drafted (92 - 2019),37,7.0,17.0,24.0,,,NCAA,,10,0.0
159,BOS,Prospects,F,"Spicer, Cole",C,19,L,Drafted (117 - 2022),32,3.0,3.0,6.0,,,NCAA,,3,0.0
160,BOS,Prospects,F,"Locmelis, Dans",C,19,L,Drafted (119 - 2022),44,25.0,34.0,59.0,,,J20 Nationell,,10,0.0
162,BOS,Prospects,F,"Jellvik, Oskar",LW,20,L,Drafted (149 - 2021),34,4.0,13.0,17.0,,,NCAA,,8,0.0
164,BOS,Prospects,F,"Duran, Riley",C,21,R,Drafted (182 - 2020),29,8.0,12.0,20.0,,,NCAA,,11,0.0
165,BOS,Prospects,F,"Schmaltz, Jake",C,22,R,Drafted (192 - 2019),34,5.0,7.0,12.0,,,NCAA,,6,0.0
166,BOS,Prospects,F,"Gasseau, Andre",C,20,L,Drafted (213 - 2021),36,10.0,19.0,29.0,,,NCAA,,13,0.0
168,BOS,Prospects,D,"Brunet, Frédéric",LD,20,L,Drafted (132 - 2022),66,16.0,57.0,73.0,,,QMJHL,,10,0.0
169,BOS,Prospects,D,"Myrenberg, Jonathan",RD,20,R,Traded,49,4.0,8.0,12.0,,,HockeyAllsvenskan,,7,0.0
170,BOS,Prospects,D,"Langenbrunner, Mason",RD,20,R,Drafted (151 - 2020),33,1.0,0.0,1.0,,,NCAA,,0,0.0
171,BOS,Prospects,D,"Bychkov, Roman",LD,22,L,Drafted (154 - 2019),17,0.0,2.0,2.0,,,KHL,,7,0.0
172,BOS,Prospects,D,"Edward, Jackson",LD,19,L,Drafted (200 - 2022),65,5.0,20.0,25.0,,,OHL,,5,0.0
173,BOS,Prospects,D,"Gallagher, Ty",RD,20,R,Drafted (217 - 2021),40,3.0,18.0,21.0,,,NCAA,,8,0.0
175,BOS,Prospects,G,"Svedebäck, Philip",G,21,L,Drafted (117 - 2021),34,0.0,0.0,0.0,2.18,0.909,NCAA,,0,0.870391347
176,BOS,Prospects,G,"Dyck, Reid",G,19,L,Drafted (183 - 2022),40,0.0,0.0,0.0,3.62,0.887,WHL,,0,0.857648484
177,MTL,Majors,LW,"Caufield, Cole",LW,22,R,Drafted (15 - 2019),46,26.0,10.0,36.0,,,NHL,,36,0.0
178,MTL,Majors,C,"Dach, Kirby",C,22,R,Traded,58,14.0,24.0,38.0,,,NHL,,38,0.0
179,MTL,Majors,C,"Newhook, Alex",LW,22,L,Traded,82,14.0,16.0,30.0,,,NHL,,30,0.0
180,MTL,Majors,RW,"Slafkovsky, Juraj",LW,19,L,Drafted (1 - 2022),39,4.0,6.0,10.0,,,NHL,,10,0.0
181,MTL,Majors,LD,"Guhle, Kaiden",LD,21,L,Drafted (16 - 2020),44,4.0,14.0,18.0,,,NHL,,18,0.0
182,MTL,Majors,LD,"Harris, Jordan",LD,23,L,Drafted (71 - 2018),65,4.0,13.0,17.0,,,NHL,,17,0.0
183,MTL,Majors,RD,"Xhekaj, Arber",LD,22,L,Signed to ELC,51,5.0,8.0,13.0,,,NHL,,13,0.0
184,MTL,Minors,F,"Ylönen, Jesse",RW,23,R,Drafted (35 - 2018),39,11.0,21.0,32.0,,,AHL,,26,0.0
185,MTL,Minors,F,"Farrell, Sean",LW,21,L,Drafted (124 - 2020),34,20.0,33.0,53.0,,,NCAA,,25,0.0
186,MTL,Minors,F,"Beck, Owen",C,19,R,Drafted (33 - 2022),60,24.0,42.0,66.0,,,OHL,,13,0.0
187,MTL,Minors,F,"Mesar, Filip",RW,19,R,Drafted (26 - 2022),52,17.0,34.0,51.0,,,OHL,,12,0.0
188,MTL,Minors,F,"Mysak, Jan",C,21,L,Drafted (48 - 2020),40,5.0,4.0,9.0,,,AHL,,7,0.0
189,MTL,Minors,F,"Kidney, Riley",C,20,L,Drafted (63 - 2021),60,28.0,82.0,110.0,,,QMJHL,,17,0.0
190,MTL,Minors,F,"Roy, Joshua",RW,20,L,Drafted (150 - 2021),55,46.0,53.0,99.0,,,QMJHL,,17,0.0
191,MTL,Minors,F,"Simoneau, Xavier",RW,22,L,Drafted (191 - 2021),62,6.0,32.0,38.0,,,AHL,,20,0.0
192,MTL,Minors,F,"Heineman, Emil",LW,21,L,Traded,35,8.0,7.0,15.0,,,SHL,,20,0.0
193,MTL,Minors,F,"Légaré, Nathan",RW,22,R,Traded,68,8.0,11.0,19.0,,,AHL,,9,0.0
194,MTL,Minors,D,"Barron, Justin",RD,21,R,Traded,39,4.0,11.0,15.0,,,NHL,,15,0.0
196,MTL,Minors,D,"Mailloux, Logan",RD,20,R,Drafted (31 - 2021),59,25.0,28.0,53.0,,,OHL,,11,0.0
197,MTL,Minors,D,"Struble, Jayden",LD,22,L,Drafted (46 - 2019),31,1.0,11.0,12.0,,,NCAA,,6,0.0
198,MTL,Minors,D,"Norlinder, Mattias",LD,23,L,Drafted (64 - 2019),67,2.0,17.0,19.0,,,AHL,,9,0.0
199,MTL,Minors,D,"Trudeau, William",LD,20,L,Drafted (113 - 2021),60,7.0,20.0,27.0,,,AHL,,14,0.0
200,MTL,Minors,D,"Beaudin, Nicolas",LD,23,L,Traded,42,2.0,24.0,26.0,,,AHL,,20,0.0
201,MTL,Minors,G,"Dobes, Jakub",G,22,L,Drafted (136 - 2020),40,0.0,0.0,0.0,2.31,0.918,NCAA,,0,0.874355436
202,MTL,Prospects,F,"Tuch, Luke",LW,21,L,Drafted (47 - 2020),40,9.0,11.0,20.0,,,NCAA,,8,0.0
203,MTL,Prospects,F,"Kapanen, Oliver",C,20,R,Drafted (64 - 2021),55,12.0,15.0,27.0,,,Liiga,,18,0.0
204,MTL,Prospects,F,"Rohrer, Vinzenz",RW,19,R,Drafted (75 - 2022),54,19.0,30.0,49.0,,,OHL,,11,0.0
205,MTL,Prospects,F,"Smilanic, Ty",C,21,L,Traded,14,1.0,1.0,2.0,,,NCAA,,2,0.0
207,MTL,Prospects,F,"Smith, Jack",C,21,L,Drafted (102 - 2020),24,0.0,5.0,5.0,,,NCAA,,3,0.0
208,MTL,Prospects,F,"Biondi, Blake",C,21,R,Drafted (109 - 2020),17,3.0,3.0,6.0,,,NCAA,,6,0.0
209,MTL,Prospects,F,"Guindon, Cedrick",C,19,L,Drafted (127 - 2022),68,22.0,47.0,69.0,,,OHL,,12,0.0
210,MTL,Prospects,F,"Davidson, Jared",C,21,L,Drafted (130 - 2022),60,38.0,44.0,82.0,,,WHL,,16,0.0
211,MTL,Prospects,F,"Pitlick, Rhett",LW,22,L,Drafted (131 - 2019),40,11.0,14.0,25.0,,,NCAA,,10,0.0
214,MTL,Prospects,F,"Gordin, Alexander",C,22,L,Drafted (171 - 2020),40,10.0,5.0,15.0,,,VHL,,10,0.0
215,MTL,Prospects,D,"Hutson, Lane",LD,19,L,Drafted (62 - 2022),39,15.0,33.0,48.0,,,NCAA,,20,0.0
216,MTL,Prospects,D,"Kostenko, Dmitri",RD,20,R,Drafted (87 - 2021),52,2.0,2.0,4.0,,,KHL,,5,0.0
217,MTL,Prospects,D,"Engström, Adam",LD,19,L,Drafted (92 - 2022),43,6.0,10.0,16.0,,,SHL,,17,0.0
219,MTL,Prospects,D,"Sobolev, Daniil",RD,20,R,Drafted (142 - 2021),48,1.0,8.0,9.0,,,OHL,,2,0.0
220,MTL,Prospects,D,"Nurmi, Petteri",LD,21,L,Drafted (194 - 2022),48,1.0,14.0,15.0,,,Liiga,,11,0.0
222,MTL,Prospects,D,"Tourigny, Miguël",RD,21,R,Drafted (216 - 2022),39,5.0,19.0,24.0,,,Slovak Extraliga,,15,0.0
226,MTL,Prospects,G,"Croteau, Emmett",G,19,L,Drafted (162 - 2022),28,,,,2.46,0.917,USHL,,0,0.869117812
227,MTL,Reserve,G,"Vrbetic, Joe",G,20,L,Drafted (214 - 2021),28,,,,3.3,0.896,ECHL,,0,0.861470724
228,VAN,Majors,C,"Åman, Nils",C,23,L,Signed to ELC,68,4.0,12.0,16.0,,,NHL,,16,0.0
229,VAN,Majors,RW,"Podkolzin, Vasily",RW,22,L,Drafted (10 - 2019),39,4.0,3.0,7.0,,,NHL,,7,0.0
230,VAN,Majors,LD,"Hughes, Quinn",LD,23,L,Drafted (7 - 2018),78,7.0,69.0,76.0,,,NHL,,76,0.0
